signal_date,event_signal,signal_prob,signal_threshold,model_name,event_title,event_source,event_type_raw
2024-08-09,0,0.5654227137565613,0.57,hybrid_lstm,贵州茅台2024年半年度报告；贵州茅台2024年半年度报告摘要；贵州茅台关于2024－2026年度现金分红回报规划的公告,moutai_ir|moutai_ir_gsgg,1
2024-08-15,0,0.5637027025222778,0.57,hybrid_lstm,贵州茅台关于收到高级管理人员推荐文件的公告,moutai_ir_gsgg,99
2024-08-19,1,0.5701032876968384,0.57,hybrid_lstm,贵州茅台第四届董事会2024年度第十次会议决议公告,moutai_ir_gsgg,17
2024-09-03,1,0.5726034045219421,0.57,hybrid_lstm,贵州茅台关于召开2024年半年度业绩说明会的公告,moutai_ir_gsgg,8
2024-09-23,0,0.5602737069129944,0.57,hybrid_lstm,贵州茅台关于以集中竞价交易方式回购公司股份方案的公告；贵州茅台第四届董事会2024年度第十一次会议决议公告,moutai_ir|moutai_ir_gsgg,4
2024-09-27,1,0.576062023639679,0.57,hybrid_lstm,贵州茅台关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告,moutai_ir_gsgg,4
2024-10-22,1,0.5747963786125183,0.57,hybrid_lstm,贵州茅台关于职工董事选举结果的公告,moutai_ir_gsgg,6
2024-10-28,1,0.5703482031822205,0.57,hybrid_lstm,贵州茅台2024年第三季度主要经营数据公告；贵州茅台2024年第三季度报告；贵州茅台第四届监事会2024年度第四次会议决议公告,moutai_ir_gsgg|moutai_ir,1
2024-11-11,1,0.574894368648529,0.57,hybrid_lstm,贵州茅台2024年中期利润分配方案公告；贵州茅台关于召开2024年第一次临时股东大会的通知；贵州茅台第四届监事会2024年度第五次会议决议公告,moutai_ir_gsgg,3
2024-11-22,0,0.5695595741271973,0.57,hybrid_lstm,贵州茅台2024年第一次临时股东大会会议资料,moutai_ir_gsgg,9
2024-12-16,1,0.5721303224563599,0.57,hybrid_lstm,贵州茅台2024年中期权益分派实施公告,eastmoney_notice,3
2025-01-03,0,0.5667762160301208,0.57,hybrid_lstm,贵州茅台2024年度生产经营情况公告,sina_bulletin,2
2025-04-03,0,0.5690363049507141,0.57,hybrid_lstm,贵州茅台2024年年度利润分配方案公告；贵州茅台2024年年度报告,eastmoney_notice|moutai_ir,1
2025-04-30,0,0.5687985420227051,0.57,hybrid_lstm,贵州茅台2025年第一季度主要经营数据公告；贵州茅台2025年第一季度报告,sina_bulletin|moutai_ir,1
2025-08-13,1,0.5702776312828064,0.57,hybrid_lstm,贵州茅台2025年半年度报告,moutai_ir,1
2025-10-30,0,0.5687417984008789,0.57,hybrid_lstm,贵州茅台2025年第三季度报告,moutai_ir,1
2025-11-06,0,0.5600545406341553,0.57,hybrid_lstm,贵州茅台关于以集中竞价交易方式回购公司股份方案的公告,eastmoney_notice,4
2025-12-11,1,0.5701845288276672,0.57,hybrid_lstm,贵州茅台2025年中期权益分派实施公告,eastmoney_notice,3
