signal_date,event_signal,signal_prob,signal_threshold,model_name,event_title,event_source,event_type_raw
2024-08-09,1,0.8296242747330308,0.5,simulation_v1,贵州茅台2024年半年度报告；贵州茅台2024年半年度报告摘要；贵州茅台关于2024－2026年度现金分红回报规划的公告,moutai_ir|moutai_ir_gsgg,1
2024-08-15,1,0.8631512999832475,0.5,simulation_v1,贵州茅台关于收到高级管理人员推荐文件的公告,moutai_ir_gsgg,99
2024-08-19,1,0.5825804255737379,0.5,simulation_v1,贵州茅台第四届董事会2024年度第十次会议决议公告,moutai_ir_gsgg,17
2024-09-03,1,0.6777870069966568,0.5,simulation_v1,贵州茅台关于召开2024年半年度业绩说明会的公告,moutai_ir_gsgg,8
2024-09-23,1,0.9285009672057254,0.5,simulation_v1,贵州茅台关于以集中竞价交易方式回购公司股份方案的公告；贵州茅台第四届董事会2024年度第十一次会议决议公告,moutai_ir|moutai_ir_gsgg,4
2024-09-27,0,0.1707789307543835,0.5,simulation_v1,贵州茅台关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告,moutai_ir_gsgg,4
2024-10-22,1,0.9760319304404812,0.5,simulation_v1,贵州茅台关于职工董事选举结果的公告,moutai_ir_gsgg,6
2024-10-28,1,0.7984720367613602,0.5,simulation_v1,贵州茅台2024年第三季度主要经营数据公告；贵州茅台2024年第三季度报告；贵州茅台第四届监事会2024年度第四次会议决议公告,moutai_ir_gsgg|moutai_ir,1
2024-11-11,1,0.9180436253782002,0.5,simulation_v1,贵州茅台2024年中期利润分配方案公告；贵州茅台关于召开2024年第一次临时股东大会的通知；贵州茅台第四届监事会2024年度第五次会议决议公告,moutai_ir_gsgg,3
2024-11-22,1,0.538910887914822,0.5,simulation_v1,贵州茅台2024年第一次临时股东大会会议资料,moutai_ir_gsgg,9
2024-12-16,1,0.6588928549002097,0.5,simulation_v1,贵州茅台2024年中期权益分派实施公告,eastmoney_notice,3
2025-01-03,0,0.1933838285557841,0.5,simulation_v1,贵州茅台2024年度生产经营情况公告,sina_bulletin,2
2025-04-03,0,0.4558051240976086,0.5,simulation_v1,贵州茅台2024年年度利润分配方案公告；贵州茅台2024年年度报告,eastmoney_notice|moutai_ir,1
2025-04-30,0,0.3727504677495136,0.5,simulation_v1,贵州茅台2025年第一季度主要经营数据公告；贵州茅台2025年第一季度报告,sina_bulletin|moutai_ir,1
2025-08-13,0,0.1998752758920839,0.5,simulation_v1,贵州茅台2025年半年度报告,moutai_ir,1
2025-10-30,0,0.4208029537976525,0.5,simulation_v1,贵州茅台2025年第三季度报告,moutai_ir,1
2025-11-06,1,0.6876821860088718,0.5,simulation_v1,贵州茅台关于以集中竞价交易方式回购公司股份方案的公告,eastmoney_notice,4
2025-12-11,1,0.5131900804955917,0.5,simulation_v1,贵州茅台2025年中期权益分派实施公告,eastmoney_notice,3
