config_name,seed,hidden_size,static_hidden_size,fusion_hidden_size,dropout,learning_rate,weight_decay,batch_size,patience,epochs,manual_pos_weight,threshold_select_metric,threshold_candidates,best_threshold,accuracy,precision,recall,f1,macro_f1,balanced_accuracy,negative_recall,tn,fp,fn,tp,threshold_scan_csv
baseline_like,42,16,8,16,0.2,0.0005,0.001,8,15,80,1.0,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,9,0,9,0,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\baseline_like_seed42_threshold_scan.csv
baseline_like,7,16,8,16,0.2,0.0005,0.001,8,15,80,1.0,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.53,0.5,0.5,0.1111111111111111,0.18181818181818182,0.4109090909090909,0.5,0.8888888888888888,8,1,8,1,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\baseline_like_seed7_threshold_scan.csv
baseline_like,2024,16,8,16,0.2,0.0005,0.001,8,15,80,1.0,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.56,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.25,0.325,0.3333333333333333,0.4444444444444444,4,5,7,2,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\baseline_like_seed2024_threshold_scan.csv
small_stable_v1,42,8,8,8,0.25,0.0003,0.001,8,20,100,1.0,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,9,0,9,0,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\small_stable_v1_seed42_threshold_scan.csv
small_stable_v1,7,8,8,8,0.25,0.0003,0.001,8,20,100,1.0,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,9,0,9,0,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\small_stable_v1_seed7_threshold_scan.csv
small_stable_v1,2024,8,8,8,0.25,0.0003,0.001,8,20,100,1.0,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,9,0,9,0,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\small_stable_v1_seed2024_threshold_scan.csv
small_stable_v2,42,8,8,8,0.25,0.0003,0.001,8,20,100,0.9,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,9,0,9,0,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\small_stable_v2_seed42_threshold_scan.csv
small_stable_v2,7,8,8,8,0.25,0.0003,0.001,8,20,100,0.9,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,9,0,9,0,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\small_stable_v2_seed7_threshold_scan.csv
small_stable_v2,2024,8,8,8,0.25,0.0003,0.001,8,20,100,0.9,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,9,0,9,0,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\small_stable_v2_seed2024_threshold_scan.csv
middle_balance_v1,42,12,8,16,0.2,0.0005,0.0005,8,20,90,1.0,balanced_accuracy,"[0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58]",0.57,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,4,5,5,4,D:\bishe\event-driven-stock-platform\artifacts\reports\sim_hybrid_experiment_tmp\middle_balance_v1_seed42_threshold_scan.csv
