threshold,accuracy,precision,recall,f1,negative_recall,macro_f1,balanced_accuracy,tn,fp,fn,tp
0.53,0.8,1.0,0.3333333333333333,0.5,1.0,0.6875,0.6666666666666666,7,0,2,1
0.55,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.57,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.59,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.61,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.63,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.65,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.45,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.47,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.49,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.51,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
