date,open,close,high,low,volume,event_date,event_type
2018-08-01,485.63,469.17,486.53,468.34,25238,2018-08-02,1
2018-08-02,470.2,450.07,470.2,442.11,55001,2018-08-02,1
2018-08-03,449.23,433.22,449.23,430.43,47337,2018-08-02,1
2018-08-06,431.23,423.91,438.23,416.48,45248,2018-08-02,1
2018-08-07,426.53,440.51,442.06,416.25,39086,2018-08-02,1
2018-10-26,373.23,364.33,379.23,362.21,55327,2018-10-29,1
2018-10-29,303.32,303.32,303.32,303.32,49076,2018-10-29,1
2018-10-30,264.23,278.23,297.23,263.25,204397,2018-10-29,1
2018-10-31,281.23,303.13,309.23,276.23,96885,2018-10-29,1
2018-11-01,309.23,317.23,339.73,305.48,98107,2018-10-29,1
2019-03-28,547.66,561.03,568.71,539.91,57567,2019-03-29,1
2019-03-29,589.23,608.22,620.91,584.4,90934,2019-03-29,1
2019-04-01,614.23,613.23,623.18,605.23,60935,2019-03-29,1
2019-04-02,614.22,604.23,614.22,590.29,53227,2019-03-29,1
2019-04-03,594.35,598.73,605.97,588.44,43057,2019-03-29,1
2019-04-24,734.11,724.23,744.23,705.45,45227,2019-04-25,1
2019-04-25,723.02,706.6,728.22,705.45,39801,2019-04-25,1
2019-04-26,700.53,699.23,714.11,699.23,43278,2019-04-25,1
2019-04-29,699.23,726.2,743.23,689.23,52572,2019-04-25,1
2019-04-30,722.23,728.23,739.19,717.34,35943,2019-04-25,1
2019-07-17,736.77,732.27,741.76,730.9,25469,2019-07-18,1
2019-07-18,730.27,716.27,731.77,715.95,39253,2019-07-18,1
2019-07-19,723.77,724.64,729.57,716.77,28015,2019-07-18,1
2019-07-22,728.77,725.79,732.77,719.02,28125,2019-07-18,1
2019-07-23,731.07,722.75,731.36,712.63,32484,2019-07-18,1
2019-10-15,948.77,979.77,984.45,945.8,40035,2019-10-16,1
2019-10-16,936.77,938.77,956.27,928.77,59151,2019-10-16,1
2019-10-17,944.77,952.1,955.43,931.27,30509,2019-10-16,1
2019-10-18,947.77,944.56,958.76,940.46,28292,2019-10-16,1
2019-10-21,940.63,937.27,947.67,932.07,25275,2019-10-16,1
2020-04-21,989.79,968.77,992.76,961.77,29224,2020-04-22,1
2020-04-22,974.77,1013.27,1018.27,970.99,44035,2020-04-22,1
2020-04-23,1018.77,1021.03,1034.45,1016.54,26899,2020-04-22,1
2020-04-24,1016.77,1019.33,1028.66,1003.95,19122,2020-04-22,1
2020-04-27,1025.77,1044.77,1046.94,1019.73,25904,2020-04-22,1
2020-04-27,1025.77,1044.77,1046.94,1019.73,25904,2020-04-28,1
2020-04-28,1054.08,1047.9,1068.71,1040.65,34662,2020-04-28,1
2020-04-29,1046.57,1043.67,1056.87,1026.77,23444,2020-04-28,1
2020-04-30,1039.77,1034.47,1053.78,1027.65,24661,2020-04-28,1
2020-05-06,1019.77,1068.77,1068.77,1018.77,35835,2020-04-28,1
2020-07-28,1415.79,1455.79,1465.79,1415.79,54912,2020-07-29,1
