event_date,event_type,event_source,event_title,event_count,raw_event_date,url
2018-08-02,1,sina_bulletin,贵州茅台2018年半年度报告,1,2018-08-02,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=4614308&stockid=600519
2018-10-29,1,eastmoney_notice,贵州茅台2018年第三季度报告,1,2018-10-29,https://data.eastmoney.com/notices/detail/600519/AN201810281223391298%2CWEQlRTglQjQlQjUlRTUlQjclOUUlRTglOEMlODU%3D.html
2019-03-29,1,sina_bulletin,贵州茅台2018年年度报告,1,2019-03-29,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=5130113&stockid=600519
2019-04-25,1,sina_bulletin,贵州茅台2019年第一季度报告,1,2019-04-25,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=5264928&stockid=600519
2019-07-18,1,sina_bulletin,贵州茅台2019年半年度报告,1,2019-07-18,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=5498821&stockid=600519
2019-10-16,1,sina_bulletin,贵州茅台2019年第三季度报告,1,2019-10-16,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=5685749&stockid=600519
2020-04-22,1,eastmoney_notice,贵州茅台2019年年度报告,1,2020-04-22,https://data.eastmoney.com/notices/detail/600519/AN202004211378355205.html
2020-04-28,1,sina_bulletin,贵州茅台2020年第一季度报告,1,2020-04-28,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6148131&stockid=600519
2020-07-29,1,sina_bulletin,贵州茅台2020年半年度报告,1,2020-07-29,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6465919&stockid=600519
2020-10-26,1,sina_bulletin,贵州茅台2020年第三季度报告,1,2020-10-26,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6673248&stockid=600519
2021-03-31,1,eastmoney_notice,贵州茅台2020年年度报告,1,2021-03-31,https://data.eastmoney.com/notices/detail/600519/AN202103301478583253.html
2021-04-28,1,sina_bulletin,贵州茅台2021年第一季度报告,1,2021-04-28,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7154171&stockid=600519
2021-08-02,1,sina_bulletin,贵州茅台2021年半年度报告,1,2021-07-31,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7409759&stockid=600519
2021-10-25,1,sina_bulletin,贵州茅台2021年第三季度报告,1,2021-10-23,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7603926&stockid=600519
2022-03-29,99,moutai_ir_gsgg,贵州茅台2021年度主要财务数据及2022年第一季度主要经营情况公告,1,2022-03-29,https://www.moutaichina.com/eportal/ui?currentPage=21&moduleId=d3f80281d91e4ca09af0acfdd6fba4f4&pageId=8a51d0c91f574816b3500fbb636f283a&staticRequest=yes
2022-03-31,1,moutai_ir|moutai_ir_gsgg,贵州茅台2021年年度报告；贵州茅台2021年年度报告摘要；贵州茅台2021年年度报告（英文版）,18,2022-03-31,https://www.moutaichina.com/mtgf/articleFileDir/2022-03/31/526984.pdf | https://www.moutaichina.com/eportal/ui?currentPage=21&moduleId=d3f80281d91e4ca09af0acfdd6fba4f4&pageId=8a51d0c91f574816b3500fbb636f283a&staticRequest=yes | https://www.moutaichina.com/eportal/ui?currentPage=20&moduleId=d3f80281d91e4ca09af0acfdd6fba4f4&pageId=8a51d0c91f574816b3500fbb636f283a&staticRequest=yes
2022-04-22,8,moutai_ir_gsgg,贵州茅台关于召开2021年度及2022年第一季度业绩说明会的公告,1,2022-04-22,https://www.moutaichina.com/eportal/ui?currentPage=20&moduleId=d3f80281d91e4ca09af0acfdd6fba4f4&pageId=8a51d0c91f574816b3500fbb636f283a&staticRequest=yes
2022-04-27,1,moutai_ir,贵州茅台2022年第一季度报告,1,2022-04-27,https://www.moutaichina.com/mtgf/articleFileDir/2022-04/27/529753.pdf
2022-05-10,8,moutai_ir_gsgg,贵州茅台关于参加2021年度贵州辖区上市公司业绩说明会暨投资者集体接待日活动的公告,1,2022-05-10,https://www.moutaichina.com/eportal/ui?currentPage=20&moduleId=d3f80281d91e4ca09af0acfdd6fba4f4&pageId=8a51d0c91f574816b3500fbb636f283a&staticRequest=yes
2022-05-27,9,moutai_ir_gsgg,贵州茅台关于修订《公司章程》部分条款的公告；贵州茅台关于召开2021年年度股东大会的通知；贵州茅台独立董事候选人声明（姜国华）,8,2022-05-27,https://www.moutaichina.com/eportal/ui?currentPage=20&moduleId=d3f80281d91e4ca09af0acfdd6fba4f4&pageId=8a51d0c91f574816b3500fbb636f283a&staticRequest=yes
2022-06-09,9,moutai_ir_gsgg,贵州茅台2021年年度股东大会会议资料,1,2022-06-09,https://www.moutaichina.com/eportal/ui?currentPage=19&moduleId=d3f80281d91e4ca09af0acfdd6fba4f4&pageId=8a51d0c91f574816b3500fbb636f283a&staticRequest=yes
